lecturer_id,department,employment_type,years_experience,major_speciality,related_specialities,number_of_classes,trimester,week_number,teaching_hours_per_week,modules_count,total_students_enrolled,assessment_type_weight,thesis_students_count,hod_administrative_hours,active_research_projects,weekend_work_hours,grading_backlog_days,lms_activity_late_night_count,self_reported_fatigue,perceived_support_score,total_actual_weekly_hours,calculated_burnout_score,burnout_risk_category
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,1,15.6,3,208,2.5,6,2.0,1,2.1,2,1,3,3,50.1,63.6,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,2,15.3,3,208,1.5,1,0.0,0,3.4,3,4,5,4,37.6,59.8,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,3,16.0,3,208,2.0,7,0.0,2,2.9,2,3,3,5,48.4,57.9,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,4,15.6,3,208,2.0,2,4.0,1,3.4,3,2,2,3,48.4,60.4,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,5,17.0,3,208,1.5,3,2.0,1,8.2,4,5,10,3,51.0,93.0,CRITICAL
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,6,15.2,3,208,1.5,7,0.0,1,5.5,9,9,10,1,42.9,98.0,CRITICAL
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,7,16.8,3,208,2.0,3,0.0,0,1.7,0,4,6,3,42.8,64.1,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,8,16.9,3,208,2.0,4,2.0,1,2.5,3,1,3,2,48.5,66.2,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,9,16.7,3,208,2.5,6,0.0,0,2.5,1,0,5,1,48.1,70.4,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,10,15.5,3,208,1.0,5,0.0,1,4.8,8,6,6,4,39.0,65.6,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T1,11,16.5,3,208,1.5,3,0.0,0,9.0,7,9,6,1,45.0,90.3,CRITICAL
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,1,16.9,3,208,2.0,3,0.0,0,2.4,2,4,4,1,44.2,72.0,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,2,15.7,3,208,1.5,2,8.0,1,2.5,0,1,6,5,48.9,64.2,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,3,16.9,3,208,2.5,8,0.0,0,3.2,3,2,5,2,50.0,72.4,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,4,15.7,3,208,2.0,5,0.0,2,2.7,0,1,3,4,47.4,53.8,MODERATE
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,5,16.6,3,208,2.5,4,0.0,0,5.5,6,5,10,1,50.4,96.2,CRITICAL
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,6,15.8,3,208,1.0,6,2.0,1,4.5,11,6,9,1,44.9,95.8,CRITICAL
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,7,16.9,3,208,2.0,3,0.0,0,3.5,1,3,6,5,45.7,61.1,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,8,16.9,3,208,2.5,5,0.0,0,1.5,3,3,4,2,47.5,71.4,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,9,16.7,3,208,2.0,5,8.0,0,1.0,2,4,2,5,50.4,58.8,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,10,16.4,3,208,1.0,3,0.0,2,8.2,11,4,6,4,45.8,73.8,HIGH
UTB-LEC-001,BSc Travel & Tourism Management,FULL_TIME,15,Ecotourism & Sustainable Development,"Data Analysis with Python, Digital Marketing",4,2026-T2,11,15.4,3,208,2.0,5,4.0,1,5.4,10,5,9,5,50.8,86.3,CRITICAL
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,1,11.4,2,93,2.0,8,0.0,0,0.7,2,4,2,5,28.5,38.6,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,2,12.8,2,93,2.5,3,2.0,1,1.0,1,2,2,4,30.4,39.1,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,3,12.9,2,93,1.5,2,2.0,1,2.2,0,3,4,2,32.3,53.8,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,4,12.5,2,93,2.0,7,8.0,0,0.4,2,2,3,4,35.9,50.4,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,5,11.7,2,93,1.5,2,0.0,2,4.8,5,10,8,3,33.1,76.3,CRITICAL
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,6,12.4,2,93,1.5,1,0.0,0,6.1,7,8,7,2,29.5,70.0,HIGH
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,7,11.4,2,93,1.5,0,4.0,0,3.7,1,2,6,3,29.6,51.4,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,8,12.0,2,93,1.5,2,2.0,2,1.5,1,3,3,3,30.9,47.6,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,9,12.1,2,93,1.5,1,0.0,0,2.9,2,0,5,4,26.4,39.3,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,10,12.2,2,93,1.5,4,0.0,0,6.9,11,8,9,2,31.2,83.6,CRITICAL
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T1,11,12.2,2,93,1.5,2,0.0,0,4.0,11,4,10,1,28.9,78.5,CRITICAL
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,1,12.1,2,93,2.5,6,0.0,0,2.3,2,1,4,4,30.7,45.7,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,2,12.7,2,93,1.5,5,0.0,1,3.1,0,1,6,2,33.1,55.5,HIGH
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,3,11.8,2,93,2.0,7,0.0,1,2.4,0,0,4,4,32.1,42.8,MODERATE
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,4,12.8,2,93,1.5,5,0.0,1,0.7,1,2,6,3,30.6,57.9,HIGH
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,5,12.1,2,93,1.5,6,0.0,1,6.3,3,4,7,5,36.6,59.6,HIGH
UTB-LEC-002,Bachelor of Business Management,FULL_TIME,7,Strategic Human Resource Management,"Research Methodology, Public Speaking & Pedagogy",3,2026-T2,6,12.4,2,93,2.5,2,2.0,2,8.2,11,4,8,1,42.1,85.0,CRITICAL
